parent_asin,title,main_category,categories,features,description,average_rating,rating_number,price,store
B000F1YH62,Scarface Money Power Respect - Sony PSP,Video Games,Video Games | Legacy Systems | PlayStation Systems | Sony PSP | Games,"Travel through the steamy violent streets of Miami to the Florida Keys & the Bahamas -- smuggling drugs, avoiding rivals and the DEA as they rebuild a fallen empire | Players will have both an aggressive and passive mode - negotiate business deals, intimidate those around them or escalate into a battle as they encounter a world full of seedy and dangerous characters | Experience the explosive personality of Tony as they wage battle against enemies attempting to do him harm | Use various motor vehicles and smuggle contraband to and from various locals with a variety of ocean and air vehicles | Shoot weapons from a variety of vehicles to eliminate enemies in hot pursuit","Scarface: Money. Power. Respect. Enter a complicated world of excess and greed. You'll become Tony Montana, one of the most ruthless gangsters ever depicted on film. The original screenwriter has created an all-new storyline that authentically recreates the historical time period of the film, and gives you the chance to live out the events of the film -- or change them and create a new life story for the famous gangster.",3.7,99,49.18,Vivendi Universal
B01H482N6E,Nintendo Pokemon Go Plus,Video Games,Video Games | Legacy Systems | Nintendo Systems | Wii,"The Pokémon GO Plus is a small device that lets you enjoy Pokémon GO while you're on the move and not looking at your smartphone | The device connects to a smartphone via Bluetooth low energy and notifies you about events in the game, such as the appearance of a Pokémon nearby using an LED and vibration | The Pokémon GO Plus will begin to blink and vibrate whenever you're within range of a PokéStop; Press the Pokémon GO Plus button to search the PokéStop for items; If you find any items, they'll immediately be added to your inventory | When a Pokémon is near, the light on the Pokémon GO Plus will flash; It will also flash and vibrate when you pass a PokéStop;Not compatible with Android devices that use Intel Atom processors | Once a Pokémon is close, press the button on the Pokémon GO Plus to throw a Poké Ball ;The Pokémon GO Plus will flash and vibrate to let you know if you were successful in catching the Pokémon","The Pokemon GO Plus accessory can be used with any compatible smart phone that has the Pokemon GO application installed. After the Pokemon GO Plus is paired via Bluetooth LE and a brief setup process is completed, players can encounter and catch Pokemon like never before. When the smart phone with Pokemon GO and the paired Pokemon GO Plus accessory are within range of each other, both will begin to vibrate when a Pokemon is close by. With the convenience of not having to look at your smart phone, simply press the button on the Pokemon GO Plus to attempt to catch a Pokemon while you are out and about.",4.1,7954,36.0,Nintendo
B01N6S068R,"Nintendo Switch Wired Internet LAN Adapter by HORI Officially Licensed by Nintendo, Case",Video Games,Video Games | Legacy Systems | Nintendo Systems | Wii U,Officially Licensed by Nintendo | LAN Adapter for Nintendo Switch | Fast and stable wired internet connection | Perfect for online multiplayer | Plugs into Nintendo Switch Dock,Enjoy the speed and stability of a wired internet connection on your Nintendo Switch with the Wired Internet LAN Adapter by HORI. Perfect for online multiplayer and easy to set up. Simply plug into the Nintendo Switch dock and connect to your router via LAN cable (not included) to enjoy a high speed wired internet connection. Officially Licensed by Nintendo.,4.7,10321,34.99,HORI
B000UZXOWQ,Fish Tycoon - Nintendo DS,Video Games,Video Games | Legacy Systems | Nintendo Systems | Nintendo DS | Games,Extensive use of touch screen features | Seven exclusive fish to the NDS version yield over 750 possible fish types | Enhance your fish with special plant types and chemicals | Based on the leading online and PC game from Big Fish Games that won 2006 iParenting Media Award | Simulated real-time experience - chooses from 4 speed options,"Product Description | Fish Tycoon is a fish-breeding sim with an entrepereneurial twist. Raise your fish in real-time virtual aquariums then crossbreed them however you see fit to create all -new, super unique breeds. Open your fish store and sell your fish to raise money for supplies, medicine, and special chemicals while researching new technologies or investing in advertising. Find the correct genetic combination needed to make each of the Seven Magic Fish and become the ultimate Fish Tycoon! | Amazon.com | Product Description: | Fish Tycoon is a fish-breeding sim with an entrepreneurial twist. Raise your fish in real-time virtual aquariums then crossbreed them however you see fit to create all-new, super unique breeds. Open your fish store and sell your fish to raise money for supplies, medicine, and special chemicals while researching new technologies or investing in advertising. Find the correct genetic combination needed to make each of the ""Seven Magic Fish"" and become the ultimate Fish Tycoon. | Features: | Extensive use of the Touch Screen: use it to breed and feed fish, administer medicine, make purchases, decorate tanks and much more. | Extensive use of the Touch Screen: use it to breed and feed fish, administer medicine, make purchases, decorate tanks and much more. | Seven exclusive fish in the DS version including the Clown Fish and Blue Tang, yield nearly twice as many fish as the PC version--over 750 possible fish types. Mix and match your fish to create rare hybrids while searching for the genetic combination to each of the ""Seven Magic Fish"". | Seven exclusive fish in the DS version including the Clown Fish and Blue Tang, yield nearly twice as many fish as the PC version--over 750 possible fish types. Mix and match your fish to create rare hybrids while searching for the genetic combination to each of the ""Seven Magic Fish"". | Simulated real-time experience brings potential surprises every time you turn the game on. Choose from 4 speed options to dictate how time passes in game: Paused, ½ Speed, Normal Speed and Double Speed. Be sure to take regular care of your fish or watch all of your hard work get flushed down the drain. | Simulated real-time experience brings potential surprises every time you turn the game on. Choose from 4 speed options to dictate how time passes in game: Paused, ½ Speed, Normal Speed and Double Speed. Be sure to take regular care of your fish or watch all of your hard work get flushed down the drain. | Brand new 3D environments in the DS version bring your fish tanks to life. Buy fish tanks, decorations, plants, fish eggs, fish food, and medicine to enhance the aesthetic of your tank and attract more customers. A huge assortment of decorations make your tanks look nicer and help you sell more fish. Enhance your fish with special plant types and chemicals. Research environment, food and advertising techniques to discover how to keep your rare fish healthy, feed more fish per feeding and attract additional customers. | Brand new 3D environments in the DS version bring your fish tanks to life. Buy fish tanks, decorations, plants, fish eggs, fish food, and medicine to enhance the aesthetic of your tank and attract more customers. A huge assortment of decorations make your tanks look nicer and help you sell more fish. Enhance your fish with special plant types and chemicals. Research environment, food and advertising techniques to discover how to keep your rare fish healthy, feed more fish per feeding and attract additional customers. | Use the Species Chart to track your breeding strategies. | Use the Species Chart to track your breeding strategies. | Set your own prices for specific fish based on prior sales and present needs. | Set your own prices for specific fish based on prior sales and present needs. | Use hotspots around the store to access statistics including how many fish you've discarded, cured and sold. | Use hotspots around the store to access statistics including how many fish you've discarded, cured and sold.",3.2,18,29.95,Majesco
B00KR2BTVU,The Wolf Among Us - Xbox 360,Video Games,Video Games | Legacy Systems | Xbox Systems | Xbox 360 | Games,"Episodic Game - All 5 Episodes Included | Based on Fables (DC Comics/Vertigo), an award-winning comic book series by Bill Willingham. | Play as Bigby Wolf: formerly the most feared monster among the Fables, now Sheriff of Fabletown and protector of those he used to hunt. He must restrain the beast within if he is to earn the trust of those around him. | The characters of myth, lore and legend are real, and exist in our world. Your choices matter and will change and define the story you experience. | Episodic Game - All 5 Episodes Included","The Wolf Among Us is a 5-episode series set before the events seen in the first Fables (DC Comics/Vertigo), an award-winning comic book series, it is an often violent, mature and hard-boiled thriller where the characters and creatures of myth, lore and legend are real and exist in our world.",3.9,160,21.95,Telltale Games
B00002STJ0,Heart of Darkness,Video Games,Video Games | Legacy Systems | PlayStation Systems | PlayStation | Games,Disc plus hard plastic protective case only. Disc condition ranges from flawless to scratched but is guaranteed to work.,"Product description | Hidden away in the Heart of Darkness lies a terrifying world. A world ruled by the Master of Darkness whose cruel and absolute power leads an army of emaciated devils. The fiendish force scours the land in search of Andy, a young boy on a quest to rescue his dog Whisky.Trapped in a terrifying nightmare, only you can take Andy through hundreds of epic encounters to overcome a whole host of wonderfully weird characters and emerge triumphant from the Heart of Darkness.- 176 locations and over 30 minutes of seamless film action.- Developed by the creators of Out of This World.- Climb, swing, twist and swim around 8 worlds of stunning environments packed with puzzles and fiendish traps.- Music by Bruce Boughton, performed by the London Symphony.This item is complete and includes game, game case and manual. There is minimal wear to the labels or manual. Bonus downloadable content may have already been redeemed. Game carts and disc are professionally cleaned or resurfaced. This item, while pre-played, is an excellent addition to your game collection. It will also be a good playable piece. | From the Manufacturer | Hidden away in the Heart of Darkness lies a terrifying world. A world ruled by the Master of Darkness whose cruel and absolute power leads an army of emaciated devils. The fiendish force scours the land in search of Andy a young boy on a quest to rescue his dog Whisky. Trapped in a terrifying nightmare only you can take Andy through hundreds of epic encounters to overcome a whole host of wonderfully weird characters and emerge triumphant from the Heart of Darkness. | Review | Five years in the making, Heart of Darkness is the latest platform/puzzle game from the creators of Out of this World and Flashback. It's a subgenre where the only real competition is GT's Oddworld series, which it mirrors in its high-quality, brain-twisting puzzles. | The story is all Steven Spielberg meets Jim Henson, though not nearly as annoying as that might sound. Boy from the suburbs uses his self-made spaceship to travel to another world to save his loyal cartoony dog, who's been kidnapped by a shadowy netherworld ruler. After boy crashes, he has to hoof it the rest of the way to the castle his pal is imprisoned in. | Barring his way are crazy alien environments, which are the home to kid-eating lake monsters, slime-drooling spiders, nebulous winged demons, and the like. The puzzles involve getting past all of them, often by performing tasks over several different screens (the game moves screen-by-2D-screen, instead of with a gradually scrolling view) in precise order before you can proceed further. They're, in fact, wonderfully orchestrated and great fun to solve. | For instance, one early dilemma requires you to pull the roots out from under a killer plant (so that you can later pass by). Then you have to scare a bunch of firefly-like bugs out of their nest and quickly climb up to the area where the flies have risen to, where they're distracting another batch of killer plants. Timing is, of course, everything, at every stage in the game. | If you fall to your death or get eaten (which is always a particularly gory event, especially in contrast to the saccharine trappings of the story), you end up at the beginning of your current puzzle area, which is never too far back. Keep getting killed and a tip will appear to help move you along, though knowing what to do doesn't always make the going easy. | There's a great degree of variety to the puzzles; some involve running, some jumping, some using found objects, some shooting (you gain and lose weapons several times in the game), some climbing, and some all of these nearly in conjunction with one another. The puzzles are also very rewarding, either through the occasional bit of CG animation or the revelation that you must be the smartest person in the world to have figured them out. | The environments are graphically lush, with detailed 24-color backgrounds that your gangly little player character runs around in front of and sometimes even interacts with. They're quite pretty, but if you want great static visuals, you might as well go to an art gallery. | The best part of the game is, as it should be, the puzzles. Standing up next to its ""brother,"" Oddworld: Abe's Oddysee, Heart of Darkness has better and more complex puzzles but is much more linear, has nowhere near as much replay value, and isn't nearly as long. The game spans two CDs, but a lot of it is taken up by CG and art. It's a great game with nice graphics, but it's only got about 14 play hours to it. That's a little too short to justify a purchase, but it makes for an excellent rental. --Joe Fielder -- | Copyright ©1999 GameSpot Inc. All rights reserved. Reproduction in whole or in part in any form or medium without express written permission of GameSpot is prohibited. GameSpot and the GameSpot logo are trademarks of GameSpot Inc. | -- | GameSpot Review | See more",4.3,50,54.44,Blue Byte Software
B000AVBFU8,Tales of Legendia - PlayStation 2,Video Games,Video Games | Legacy Systems | PlayStation Systems | PlayStation 2 | Games,"Face enemies bigger than any you've seen in an RPG | Battle huge monsters with fighting-game-like controls with the X-LiMBS (Crossover Linear Motion Battle System) battle system | Fantastic 3D graphics, with a different look that's perfectly suited to the game | Unique character design by renowned artist Kazuto Nakazawa","Tales of Legendia is an epic tale of love and heroism that explores the ties that bind us all. Senel Coolidge, a young expert in the special skill called ""eres,"" was drifting in the ocean on a small boat with his sister Shirley when they stumbled upon a mysterious giant ship called Legacy. Have they stumbled upon an unknown civilization, or is the Legacy a relic of something long past? FInd out with them, and become part of an incredible new adventure!",4.4,206,75.5,BANDAI NAMCO Entertainment
B001QCWS9M,Overlord 2,Video Games,Video Games | Legacy Systems | Xbox Systems | Xbox 360 | Games,"It empowers players to enact their evil will through either Domination or Destruction | Browns, Reds, Blues and Greens return stronger, smarter, faster badder and funnier. Always on the chaotic side of organised anarchy, the Minions are smarter and deadlier in their skills than ever before. | Minions will be able to mount up and ride wolves and other magical creatures around the landscape and take them into battle | Written by award-winning games writer, Rhianna Pratchett, Overlord II puts the laughter into slaughter and continues the series¿ trademark humour | 4 multiplayer games each of which has their own distinct map. Two are co-op play and 2 are Versus mode.","Product Description | Overlor II is the sequel to the hit warped fantasy action adventure that had players being delightfully despotic. In Overlord II, a new Overlord and a more powerful army of Minions take on the Glorious Empire, an advanced Romanesque nation, in a truly epic, yet familiarly warped, adventure. As the Glorious Empire conquers kingdoms and destroys any sign of magic it finds, it¿s time to go Minion Maximus with a rousing cry of ¿Veni, Vidi, Vici¿ and send in the horde. The Minions return smarter, deadlier (and funnier) and are ready to fight in large scale battles that will see their wild pack mentality squaring up to the organised legions of the Glorious Empire. As ever, they¿ll do anything and everything the Overlord commands of them, especially now that they can run ravage and wreck buildings and scenery. They¿ve also learnt to ride: In Overlord II, Minions will be able to mount up and ride wolves and other magical creatures around the landscape and take them into battle, making our band of merry fighters faster and fiercer than ever before | Amazon.com | Overlord II | is the sequel to the hit warped fantasy action adventure that had players being delightfully despotic. In | Overlord II | , a new overlord and a more powerful army of Minions take on an entire empire in a truly epic adventure, inspired by the rise of the Roman Empire. As this new enemy, the Glorious Empire, conquers kingdoms and destroys any sign of magic it finds, it’s time to go Minion Maximus and send in the horde. .caption { font-family: Verdana, Helvetica neue, Arial, serif; font-size: 10px; font-weight: bold; font-style: italic; } ul.indent { list-style: inside disc; text-indent: -15px; } table.callout { font-family: verdana; font-size: 11px; line-height: 1. 3em; } td.vgoverview { height: 125px; background: #9DC4D8 url(https://images-na.ssl-images-amazon.com/images/G/01/electronics/detail-page/callout-bg.png) repeat-x; border-left: 1px solid #999999; border-right: 1px solid #999999; padding-left: 20px; padding-right: 20px; padding-bottom: 10px; width: 250px; font-family: verdana; font-size: 12px; } | Become the new overlord. | View larger | . | Battle the Glorious Empire. | View larger | . | Minion-specific mounts. | View larger | . | Large-scale battles & bosses. | View larger | . | Story | Overlord II | picks up right where the previous game left off. In it the original overlord is no more, and in his absence the order of things have changed dramatically. The comically evil, but still deadly gremlin-like army known as Minions are lost without a leader to focus their chaotic power for good, ill or both. Yet change finally appears to be in the air. Sensing that something is afoot, the Minion horde has made its way north to the town of Nordberg. Here they find a male child the likes of which has not been seen since the coming of the original overlord. This child is obviously special, but time is short and he has much to learn. In recent days a new power has arisen, known as the ""Glorious Empire."" Based in Roman-like legionary tactics, the power of this new enemy is being used to take over all the relinquished territories of the old overlord, and to extinguish all the magic in the land in order to weaken all potential enemies. As the new overlord it's your task to gain all the strength and skills you can, harness the power of the Minion horde and take back what is yours. | Gameplay - Destroy or Dominate | Overlord II | features a brand new corruption system that empowers players to enact their evil will through either domination or destruction. Play as a dominating overlord and villages and people will fall under your command with rewards and benefits coming over time. Follow a destructive path, obliterating anything that stands in your way, and you’ll become a demonic lord of chaos. The choice is yours. | Manage Your Minions | Effective control your Minions was a big part of | Overlord | , and in | Overlord II | all four varieties of Minions return smarter, deadlier (and funnier) and are ready to fight in large scale battles that will see their wild pack mentality squaring up to the organized legions of the Glorious Empire. As in the previous game, they'll do anything and everything their overlord commands of them, especially now that they can run ravage and wreck buildings and scenery and each have their own specialty in combat; Browns are the main general use soldier units, Reds with their fire-throwing ability are useful for long-range combat, Greens are experts at stealth maneuvers and Blues provide support and healing to other Minions. In addition, they've also learned a powerful new skill, how to ride. Three of the four kinds of Minions feature exclusive mounts: Browns on wolves, Greens on giant spiders that can climb walls and the Reds on salamanders. Atop their mounts these merry fighters are faster, and stronger than ever before. | Multiplayer Options | Along with a robust single player campaign | Overlord II | features a wealth of multiplayer play options. Players will enjoy four unique multiplayer campaigns in co-op and versus modes both online and offline, each with their own unique maps. These include: | Co-op Modes: Arena Survival – Two players, both as overlords with their own minions, help each other stay alive as they battle against wave after wave of enemies coming at them in an arena setting.Kill A General – Two players, both as overlords with their own minions, go through a series of lands together on a mission to kill a Glorious Empire general. | Co-op Modes: | Arena Survival – Two players, both as overlords with their own minions, help each other stay alive as they battle against wave after wave of enemies coming at them in an arena setting. | Arena Survival – Two players, both as overlords with their own minions, help each other stay alive as they battle against wave after wave of enemies coming at them in an arena setting. | Kill A General – Two players, both as overlords with their own minions, go through a series of lands together on a mission to kill a Glorious Empire general. | Kill A General – Two players, both as overlords with their own minions, go through a series of lands together on a mission to kill a Glorious Empire general. | Versus Modes: Treasure Hunt – Two overlords and their minion armies square off against each other to collect gold and other treasure. Whichever overlord has the most treasure at the end of this timed contest wins.King Of The Hill/Capture The Flag – Two overlords and their minions face each other on a battlefield with several hills with flags on top of them. Whoever captures the most flags at the end of this timed event is the winner. Creatures from the overlord world are also on the battlefield wreaking havoc adding an even greater challenge to victory. | Versus Modes: | Treasure Hunt – Two overlords and their minion armies square off against each other to collect gold and other treasure. Whichever overlord has the most treasure at the end of this timed contest wins. | Treasure Hunt – Two overlords and their minion armies square off against each other to collect gold and other treasure. Whichever overlord has the most treasure at the end of this timed contest wins. | King Of The Hill/Capture The Flag – Two overlords and their minions face each other on a battlefield with several hills with flags on top of them. Whoever captures the most flags at the end of this timed event is the winner. Creatures from the overlord world are also on the battlefield wreaking havoc adding an even greater challenge to victory. | King Of The Hill/Capture The Flag – Two overlords and their minions face each other on a battlefield with several hills with flags on top of them. Whoever captures the most flags at the end of this timed event is the winner. Creatures from the overlord world are also on the battlefield wreaking havoc adding an even greater challenge to victory. | Laughter on the Battlefield | Written by award-winning games writer, Rhianna Pratchett, | Overlord II | puts the laughter into slaughter and continues the series’ trademark humor, playing on the mischievous physical comedy of the minion’s antics with a sprinkling of parody for good measure.",4.2,102,10.02,Square Enix
B074W9J8HZ,Microsoft Xbox Wireless Controller - Minecraft Creeper - Xbox One (Discontinued),Video Games,Video Games | Xbox One | Accessories | Controllers | Gamepads & Standard Controllers,"Prepare to create, explore, and survive your own Minecraft adventure with the Minecraft Creeper controller, featuring the iconic green Creeper design | Get up to twice the wireless range than previous controllers | ABXY buttons with classic Minecraft font | Textured grip for enhanced comfort;Compatible With Xbox One X, Xbox One S, Xbox One, Windows 10 | Includes Bluetooth technology for gaming on Windows 10 PCs and tablets | Compatible with Xbox Series X, Xbox One, Windows 10","Prepare to create, explore, and survive your own Minecraft adventure with the Minecraft Creeper controller, featuring the iconic green Creeper design, textured grip for enhanced comfort, and ABXY buttons with classic Minecraft font. Enjoy custom button mapping and up to twice the wireless range. Plug in any compatible headset with the 3.5mm stereo headset jack. And with Bluetooth technology, play your favorite games on Windows 10 PCs and tablets.",4.6,1823,,Microsoft
B0C6BV5XQZ,Rocksmith Real Tone Cable,Video Games,Video Games | Ubisoft,"Allows users to plug any guitar or bass to their PC | Allows for real-time, responsive guitar play for a recording at 16 bit (up to 48kHz). Plus, the analog-to-digital interface connects the instrument directly to any Windows PC | Have the freedom to move with 11.25 feet (3.4 meters) of cable with a unique quick release connection to protect your gear | *Requires 1/4"" output jack on instrument. Rocksmith+ subscription not included.","Connect any electric guitar or bass via 1/4"" output directly to your console or PC and get real-time note detection and virtual effects in Rocksmith+.",4.6,12619,24.97,Ubisoft
B00001X50M,Metal Gear Solid,Video Games,Video Games | Legacy Systems | PlayStation Systems | PlayStation | Games,"Lightly Armed and facing an army of foes, Snake must avoid firefights in order to survive. | If Snake can locate them he can utilize advanced hardware, ranging from silenced pistols to ground-to-air missiles. | Enemies react to sight and sound - so stay quiet and stay in the shadows. | State-of-the-art graphics, textures, transparencies, models & explosions. | Taut, gripping story with multiple endings - a truly cinematic experience.","Product description | You are Snake, a government agent on a mission to regain control of a secret nuclear weapons base from terrorist hands. Lightly armed and facing an army of foes, Snake must avoid firefights in order to survive. If Snake can locate them he can utilize advanced hardware, ranging from silenced pistols to ground-to-air missiles. Enemies react to sight and sound - so stay quiet and stay in the shadows. State-of-the-art graphics: textures, transparencies, models and explosions. Taut, gripping story with multiple endings - a truly cinematic experience. | Amazon.com | You are Solid Snake, a superspy who's half James Bond, half Snake Plissken, and you are mean. Your mission isn't terribly new (infiltrate a terrorist base and blow everything up), but the gameplay is: your numerous enemies are watching for you, and you are encouraged to sneak rather than simply charge in. Every level brings new challenges. You fight snipers, invisible ninjas, psychic warriors, and even an M-1 tank! As the father of the modern spy game genre, this game is an instant classic. | Your allies and superiors speak to you via a cool, implanted radio, monitoring your progress, offering tips--but failing to give you the full story. The combination of a mysterious and engaging plot and high in-game tension makes this a thrilling ride. Campy humor also abounds as you rescue beautiful women, verbally spar with your allies, and blow up enemies in the bathroom. A user-friendly control interface allows for sniping, hiding, crawling, and running, and the graphics leave nothing to be desired. If you like espionage, spy movies, or just want to own and play a piece of gaming history, then this is a must have. | Metal Gear Solid | is one of the all-time greats. Game tip: Secretly attach plastic explosives behind an enemy, sneak out of the room, and see what happens. | --Allen Stewart | Pros: | Story well-integrated into gameplay | Story well-integrated into gameplay | Stealth favored over brute force | Stealth favored over brute force | Challenging puzzles | Challenging puzzles | Cons: | Puzzles can be frustrating | Puzzles can be frustrating | Torture scene too intense for younger gamers | Torture scene too intense for younger gamers | Review | Metal Gear Solid is the game that has been sending chills down the back of this industry for over two years. Konami leaked bits of information about it here and there, but there was no hiding the notion that Metal Gear Solid would be an adventure of epic proportions. Now, all the waiting has ceased, and the game is finally upon us. But does Metal Gear Solid live up to the years of hype? That really depends on your perspective. | At its core, Metal Gear Solid is truly a lesson in stealth. Forget about running into rooms with your gun blazing, leaving nothing alive but an occasional rat. Here, living by the gun readily equates into dying by the gun. Why bother fighting the guards when you can just sneak around behind their backs, crawl along walls just out of the sight range of surveillance cameras, and hide behind boxes? | Unlike most other games, Metal Gear Solid really knows how to tell a story. You, as retired supersneaky agent Solid Snake, must infiltrate a base that has been overrun by terrorists. These terrorists, however, are members of your old unit, a top secret organization known as Fox Hound. The hounders are sitting on a supersecret new weapon and enough nuclear warheads to send the planet back to the Ice Age. Your mission (no choice here - you're forced to accept) is to infiltrate the base carrying nothing but a pair of binoculars and a pack of smokes, check up on a couple hostages, find out if Fox Hound even has the ability to carry out its apocalyptic threats, and if it does, stop it. The storyline unfolds in a seemingly never-ending collection of cutscenes, all extremely well rendered using the game engine. The game doesn't need FMV to clog up the process (given the amount of time spent watching cutscenes, FMV probably would have made MGS a three- or four-disc game), although it does use video in a few isolated cases and uses it reasonably well. | When you first start playing the game, you truly do feel like you're constantly in danger. There are so many ways that guards can be alerted to your presence. The most dangerous, of course, is sight. If you enter the line of sight of a guard or a camera, you've got a fight on your hands. Luckily, their lines of sight are represented by big cones on your radar. Simply stay away from the cones, and you'll never get spotted. If you stomp through a puddle of water or across a metal catwalk, fire off a weapon, or knock on a wall (great for luring the dummies to their doom), nearby guards will hear the noise and check it out. They'll even follow footprints in the snow. If you're spotted, a bunch of guards come out of nowhere and start playing target practice with you. This also starts a two-part timer. The first part of the timer is the danger timer. During this time, guards are extremely alert, and they scurry around, hoping to find you. If you can manage to stay out of sight, the second timer starts. During this time the guards don't look for you quite as actively. If you can stay hidden during that time, the guards stupidly assume that you must have run away, and simply return to their posts. No increased patrols, no manhunts. They just forget they ever saw you and continue to wander aimlessly. While it's understandable that this had to be done for gameplay purposes (getting spotted once and playing the rest of the game with tons of guards on your tail wouldn't exactly be fair), it comes across as more than a little silly. Plus, all of these guards are badly in need of some corrective eyewear, because they can only see about 20 or so feet in front of them. Heck, you can even shoot a guard in the back of the head (it takes multiple shots to kill), and he'll just look around, not see anyone, and go back to standing there like an idiot. -- Jeff Gerstmann -- | Copyright ©1999 GameSpot Inc. All rights reserved. Reproduction in whole or in part in any form or medium without express written permission of GameSpot is prohibited. GameSpot and the GameSpot logo are trademarks of GameSpot Inc. | -- | GameSpot Review | See more",4.6,638,68.18,Konami
B09WFXRFWK,Isonzo: Deluxe Edition (PS5),Video Games,Video Games | PlayStation 5 | Games,"Deluxe Edition Features three additional cosmetic packs: 'Avanti Savoia,' 'Reserve,' and ‘Veteran’ including different uniforms, mustaches, and facial items | Mountain Warfare: Assaulting mountain fortifications, battling through ruined towns, and fording rivers are just a few of the challenges you’ll face as you fight your way through numerous enemy positions | Tactical Multiplayer FPS: Choose your role and loadout carefully to survive this high-altitude combat - play a sniper to pick off the enemy engineers before they can cut your wire, use rifle grenades to clear enemy machine guns, and much more | World War One Gameplay: Historical Offensive game mode based on real battles and focused on the unique challenges of Alpine warfare; Fight with 30+ WW1 weapons, poisonous gas attacks, and intense artillery barrages | Build for Victory: Place your own wire, sandbags, trench periscopes, and more; Whether you’re digging in or on the attack, shaping the battlefield to your advantage will be key to victory","World War One expands to the mountains of the Italian Front - beautiful but deadly in equal measure. Inspired by the two year struggle for control of the Isonzo river valley and the Alps during World War One, Isonzo elevates the WW1 Games Series, figuratively and literally. Lead the charge across stunning Italian landscapes as you choose your path to victory - cut paths through barbed wire, flank your enemies by following mountain trails, or man a mortar to blast a way through. Shape a dynamic battlefield by laying sandbags and wire, placing ammo crates, deploying trench periscopes or sniper shields, and more. Take part in historical offensives from the Sixth Battle of the Isonzo to the Strafexpedition. Reflecting the course of the actual battles, as the attackers advance the fighting will shift through vastly different landscapes within a single offensive: from hillside fortresses to mountain trenches and fierce urban combat on city streets. Everything is recreated based on research and field trips, from sound effects and uniforms down to the houses, vineyards and trenches you’ll be fighting over. You’ve never experienced WW1 action quite like this! Deluxe Edition Features three additional cosmetic packs: 'Avanti Savoia,' 'Reserve,' and ‘Veteran’ including different uniforms, mustaches, and facial items.",4.1,20,22.04,Maximum Games
B001D8Q5MA,Grand Theft Auto IV [Online Game Code],Video Games,Video Games | PC,Requires Steam Client to activate.  Steam key only valid in North America.,"From the Manufacturer | What does the American dream mean today? For Niko Bellic fresh off the boat from Europe, it is the hope he can escape from his past. For his cousin, Roman, it is the vision that together they can find fortune in Liberty City, gateway to the land of opportunity. As they slip into debt and get dragged into a criminal underworld by a series of shysters, thieves and sociopaths, they discover that the reality is very different from the dream in a city that worships money and status, and is heaven for those who have them and a living nightmare for those who don't.",3.7,242,,Rockstar Games
B00MOR1SJ4,Tales of Xillia (Collector's Edition) - Playstation 3,Video Games,Video Games | Legacy Systems | PlayStation Systems | PlayStation 3 | Games,"Includes: The Game; Exclusive 21; 5 cm Milla Maxwell figurine (including base); 100 pages Artbook with original artworks from the dev team; Tales of Xillia Original soundtrack of the game | Two Heroes - Choose one of two distinct heroes: Jude Mathis, a medical student or Milla Maxwell, a mysterious woman accompanied by the Four Great Spirits, and experience the story from their unique point of view | Dynamic Battles - Action packed, real-time battles including the all-new dual raid system that expands the strategy and combo potential by linking with a partner during skirmishes | Creative Collaboration - Beautiful characters designed by renowned artists Kosuke Fujishima and Mutsumi Inomata inhabit the lush, expansive world of Rieze Maxia | Expansive Gameplay - New and traditional RPG elements expertly crafted and designed featuring dozens of locations to explore, fierce enemies and adversaries to battle and secrets to uncover","The TALES OF XILLIA Collector's Edition comes with a DLC voucher that includes the Classic TALES OF Costume pack which was announced with the TALES OF XILLIA Limited Edition. The same TALES OF XILLIA music CD will also be shared across both the TALES OF XILLIA Collector's and Limited Editions. The Milla Maxwell statue and TALES OF XILLIA art book are exclusive to the TALES OF XILLIA Collector's Edition. Tales of Xillia follows Jude Mathis, a clever medical student attending school in the capital city, and Milla Maxwell, a mysterious woman accompanied by four unseen beings. Players will be able to choose either Jude or Milla at the outset of their adventure through the world of Rieze Maxia, where humans and spirits live together in harmony. The kingdom of Rashugal has been experimenting with a powerful source that led to draining the mana from the world. Realizing the harm it is inflicting on the world, Jude and Milla set off on a journey to destroy it and restore the mana back to the world.",4.0,69,185.99,BANDAI NAMCO Entertainment
B0012IWRC8,Hot Shots Golf: Out of Bounds - Playstation 3,Video Games,Video Games | Legacy Systems | PlayStation Systems | PlayStation 3 | Games,"The new shot system offers a high risk to reward ratio and gives players the ability to hit the ball farther and straighter, but also penalizes more on mistimed shots. | Customize a tournament and square off with up to 50 of your closest friends, or swing into the lobby and interact with others while customizing your personal avatar with more than 300 options. | Select one of 15 different playable characters all with their own distinct look, attributes and quirky characteristics. Six entertaining caddies wait to guide you through the open fairways and the tenacious rough. | Larger playable environments let you play your errant tee shot from a neighboring hole, or if it makes sense take aim at a different fairway and use it as a shortcut. | In between rounds, head to the PlayStation Store to download exciting content including characters, courses, clubs, clothing and other golf swag.","The Most Fun You'll Ever Have In Golf Slip on the golf shoes, step out on the course and tee it up on the PlayStation 3 with Hot Shots Golf: Out Of Bounds. Rip a 300 yard drive down the middle the fairway or go pin hunting on those tricky par 3s. No mulligans needed as Hot Shots Golf: Out of Bounds is all about having fun and enjoying the most entertaining and over the top golfing experience imaginable. So come on, step up and give it your best shot.",4.1,221,34.99,PlayStation
